Date,MSCI Emerging Markets
12/1987,10000
01/1988,11100.47162367223
02/1988,11461.291863905324
03/1988,12521.24277606616
04/1988,13112.040735068915
05/1988,13639.024029304032
06/1988,14627.42142857143
07/1988,14975.041011086476
08/1988,14901.700172304343
09/1988,15753.07362924282
10/1988,15265.137565858799
11/1988,14598.68405161508
12/1988,15003.067021276594
01/1989,15401.735235252812
02/1989,16786.342961251332
03/1989,18582.71090632549
04/1989,22232.787692307695
05/1989,23500.9133339589
06/1989,21022.225105082158
07/1989,21428.557606212882
08/1989,22265.66281313787
09/1989,25457.010833725857
10/1989,24842.337388939257
11/1989,23345.781876675603
12/1989,25118.135784061695
01/1990,25185.059790384297
02/1990,25826.91475006156
03/1990,22724.356101227764
04/1990,24052.30334762533
05/1990,25603.59185659826
06/1990,26667.845173934344
07/1990,28143.650463292946
08/1990,23473.035872198667
09/1990,20509.82507204611
10/1990,19539.270185512363
11/1990,18153.440453167845
12/1990,19144.44134053738
01/1991,20743.686824769436
02/1991,23416.594515223493
03/1991,26535.330930742715
04/1991,28244.275177422016
05/1991,30867.908128449577
06/1991,30875.518511450384
07/1991,32518.570798228087
08/1991,32473.225382263
09/1991,30366.8823062944
10/1991,31564.328840125396
11/1991,29932.29190820297
12/1991,32238.122758726746
01/1992,36223.65491289199
02/1992,38668.3047008547
03/1992,41045.35217355976
04/1992,40392.63990659473
05/1992,39478.46111681542
06/1992,34544.52682215744
07/1992,33258.98393861892
08/1992,30908.605057340268
09/1992,31731.274420638383
10/1992,34819.055305905575
11/1992,36700.489129731475
12/1992,37754.88433559651
01/1993,38678.38220024722
02/1993,40306.8375
03/1993,41844.765303004584
04/1993,41350.578732475195
05/1993,42607.485477110225
06/1993,45151.18888512942
07/1993,48309.35912177056
08/1993,52788.82278098624
09/1993,52544.058919887386
10/1993,57930.634596460935
11/1993,62118.89202269101
12/1993,72354.82533888545
01/1994,74670.19040948278
02/1994,73059.72934967352
03/1994,65074.81624178713
04/1994,63958.065419082755
05/1994,64725.34054332874
06/1994,61919.19834235453
07/1994,63742.24313114755
08/1994,71735.80221565731
09/1994,71773.59483682415
10/1994,69131.97204968944
11/1994,66512.037837401
12/1994,62421.077931716965
01/1995,54639.949511269086
02/1995,52655.84582933845
03/1995,50931.329672861306
04/1995,52198.03594456163
05/1995,55824.329876089956
06/1995,55522.30439927184
07/1995,56108.94971137266
08/1995,56446.10546072449
09/1995,56898.94907298756
10/1995,53869.593361571046
11/1995,53023.258207918494
12/1995,56251.91600156801
01/1996,60981.89733375655
02/1996,60357.15624900241
03/1996,60788.451491465945
04/1996,63757.96071428571
05/1996,64243.23404705691
06/1996,64143.07386703287
07/1996,58851.26749403341
08/1996,59810.475206937335
09/1996,60851.49217557251
10/1996,59412.83632447953
11/1996,59633.0211968504
12/1996,61228.55589537224
01/1997,67183.88973214285
02/1997,73113.5041325166
03/1997,72019.34976435678
04/1997,72539.08831168832
05/1997,74386.72331379581
06/1997,79248.1377388535
07/1997,82669.0031096563
08/1997,74207.37301038062
09/1997,74263.34255532283
10/1997,60950.89200643777
11/1997,57518.353078203
12/1997,60493.72218724704
01/1998,57031.48136903119
02/1998,62845.412007711384
03/1998,65814.32496084033
04/1998,64656.53191177816
05/1998,54946.140410958906
06/1998,49539.67483660131
07/1998,51231.3137033667
08/1998,36269.79267784323
09/1998,36771.157477321816
10/1998,39141.80467592978
11/1998,43623.963564763304
12/1998,42717.47567199728
01/1999,43401.64158468025
02/1999,45279.56770738791
03/1999,52563.69350214113
04/1999,59875.14088893083
05/1999,60329.542482785
06/1999,68009.00141363284
07/1999,63897.13858238264
08/1999,65216.39177149343
09/1999,62465.791729957804
10/1999,65089.716138907505
11/1999,73426.66160245618
12/1999,83185.24963169421
01/2000,85860.4465529568
