Date,MSCI Europe
12/1978,10000
01/1979,10185.22014136237
02/1979,10417.900537688138
03/1979,11082.862239464233
04/1979,11357.571727828092
05/1979,10904.93663100978
06/1979,11091.800584057344
07/1979,10853.345228031323
08/1979,11213.883160751473
09/1979,11652.336273235684
10/1979,10649.360632847074
11/1979,11043.6332976069
12/1979,10821.354643477585
01/1980,11242.47578453313
02/1980,11482.007621487986
03/1980,10360.385370629214
04/1980,11543.023470064545
05/1980,11330.929112519874
06/1980,11957.612881949924
07/1980,11981.966073808446
08/1980,12319.463324403647
09/1980,12486.108878404128
10/1980,13244.768873607407
11/1980,13531.201741509978
12/1980,13386.746967081914
01/1981,12901.570454855964
02/1981,13644.781032510173
03/1981,13911.717203326398
04/1981,14128.132363625942
05/1981,13784.056365579896
06/1981,13967.42512033204
07/1981,13981.281512403615
08/1981,14761.15427239477
09/1981,12761.086202590053
10/1981,12866.599550853196
11/1981,14277.60375781027
12/1981,13984.765300858502
01/1982,14402.467798156844
02/1982,14300.26884118683
03/1982,14514.385907761894
04/1982,15183.53274759939
05/1982,14647.97005898564
06/1982,14240.704226932248
07/1982,14846.610873622283
08/1982,15022.471945021978
09/1982,15503.51970216591
10/1982,15876.892895760724
11/1982,16396.918629792548
12/1982,16510.035584635407
01/1983,16420.057215838122
02/1983,17367.9352882362
03/1983,18332.397428524415
04/1983,20112.53233365626
05/1983,20027.580384583136
06/1983,21007.738148296707
07/1983,20998.024802962977
08/1983,21207.83569842657
09/1983,21589.12169746449
10/1983,21218.41966876916
11/1983,22426.926965409406
12/1983,23167.323982864913
01/1984,24640.030757135624
02/1984,24556.14364968392
03/1984,24304.185356520797
04/1984,24401.07405848904
05/1984,23461.88293522704
06/1984,23416.017177572485
07/1984,22702.900331953926
08/1984,24902.8815474412
09/1984,25689.896931716783
10/1984,26218.066087228624
11/1984,25459.90016246004
12/1984,26655.480031414147
01/1985,28565.804283394995
02/1985,28397.7751727548
03/1985,31750.48623767491
04/1985,30405.97770884648
05/1985,32216.970939026465
06/1985,32030.921024844753
07/1985,33341.931904708596
08/1985,33850.10476610644
09/1985,34966.138268015384
10/1985,36463.30311388926
11/1985,38558.1630517397
12/1985,39293.26199421451
01/1986,39219.80881425104
02/1986,42157.14610079316
03/1986,44354.18024686089
04/1986,48736.431481381915
05/1986,43659.961950041514
06/1986,45751.07265231215
07/1986,44035.352202574424
08/1986,47492.401909488784
09/1986,44140.88415290366
10/1986,43922.99342187089
11/1986,46755.88852309905
12/1986,47257.390185902936
01/1987,46389.80244001448
02/1987,47204.617573952586
03/1987,49462.36165581777
04/1987,50735.31690030454
05/1987,49848.98074714457
06/1987,52196.086070784106
07/1987,54738.321760303916
08/1987,55629.85632732613
09/1987,54540.5910637742
10/1987,43857.440146959256
11/1987,39397.992820401625
12/1987,40428.05684667624
01/1988,39180.82143012408
02/1988,42689.57391686133
03/1988,43274.38488595769
04/1988,43820.10731069918
05/1988,43428.8778412385
06/1988,44591.29439445851
07/1988,46946.56391953425
08/1988,45823.72259511506
09/1988,47966.87338126233
10/1988,51118.631903596775
11/1988,49702.09566678446
12/1988,50020.7233364705
01/1989,53891.89408235313
02/1989,53943.003841542406
03/1989,54698.55957846323
04/1989,56530.32122159427
05/1989,55940.88144218295
06/1989,59298.22305090406
07/1989,63389.825880458106
08/1989,63567.723885904525
09/1989,65653.79553808285
10/1989,59041.45726753303
11/1989,61427.22353022555
12/1989,65239.720961245344
01/1990,63159.84906449596
02/1990,60831.7210536139
03/1990,62772.4279018528
04/1990,60323.631485322316
05/1990,64171.30012148615
