Date,MSCI World ex USA
12/1978,10000
01/1979,10212.836207721259
02/1979,10238.087552757162
03/1979,10518.227929142971
04/1979,10614.40767065972
05/1979,10577.746846452357
06/1979,10669.450828924191
07/1979,10339.013966062412
08/1979,10701.596575769154
09/1979,11089.945946922035
10/1979,10210.879617494933
11/1979,10387.98455551675
12/1979,10543.239278788024
01/1980,11079.189213648384
02/1980,11313.255968870699
03/1980,10427.110062391892
04/1980,11487.33465302459
05/1980,11555.728634982095
06/1980,12110.27148387623
07/1980,11953.135889768291
08/1980,12592.18038883126
09/1980,13010.817274134817
10/1980,13788.961674798637
11/1980,14053.979600476254
12/1980,14390.436909098249
01/1981,14145.039396535778
02/1981,14896.062859212896
03/1981,15486.349346874878
04/1981,16228.6043475936
05/1981,16622.63671428451
06/1981,17255.276227219638
07/1981,17050.77401533361
08/1981,17913.14972558501
09/1981,15340.446286990287
10/1981,15051.882309593155
11/1981,16525.967877048446
12/1981,16510.308800017185
01/1982,16478.129118748853
02/1982,15856.563691410081
03/1982,15339.735098327752
04/1982,16456.775709275804
05/1982,15660.532985038708
06/1982,15243.451967005234
07/1982,15486.061170925796
08/1982,15814.471642823528
09/1982,15883.76418578697
10/1982,16304.451647972077
11/1982,17815.942986753013
12/1982,18503.092905326037
01/1983,18346.025947641476
02/1983,19089.303886731825
03/1983,19894.667864903662
04/1983,21449.001527548873
05/1983,21556.094659169907
06/1983,22717.393615879784
07/1983,23089.42073339471
08/1983,23520.27489833203
09/1983,24261.49083489573
10/1983,23587.42841021958
11/1983,25002.999341450763
12/1983,26582.502162203848
01/1984,28070.58389032787
02/1984,27573.38230894968
03/1984,28694.326217969396
04/1984,28694.087346404598
05/1984,26953.8247001662
06/1984,26825.71115581576
07/1984,26020.12299890858
08/1984,28735.176068442106
09/1984,29788.37487089624
10/1984,30885.043999839116
11/1984,29654.525172209906
12/1984,31292.227189058158
01/1985,32961.030580636245
02/1985,33866.82282007964
03/1985,36484.57880252499
04/1985,33869.510962513916
05/1985,35470.59300033674
06/1985,35625.17121694978
07/1985,35522.32714289587
08/1985,35245.08142748838
09/1985,37552.045173738385
10/1985,37296.62860786363
11/1985,38177.89018992243
12/1985,38874.602110579435
01/1986,38960.53989173027
02/1986,41308.2570049953
03/1986,45606.9463869118
04/1986,48676.29387602924
05/1986,45822.11547294013
06/1986,48897.94698243107
07/1986,50129.29155611142
08/1986,53345.4056602088
09/1986,52466.70978077245
10/1986,48609.080351416436
11/1986,51856.65698399302
12/1986,53729.79934990228
01/1987,55966.136496411484
02/1987,56701.357341681694
03/1987,61390.86875189897
04/1987,66628.10853224389
05/1987,65779.77598423568
06/1987,65039.27274894954
07/1987,66251.87742894315
08/1987,71521.41582334107
09/1987,68617.07129996271
10/1987,58233.58863383922
11/1987,55132.56613518646
12/1987,55089.3383015897
01/1988,56536.00088776834
02/1988,62026.48607230305
03/1988,64923.773335817015
04/1988,65452.98960732517
05/1988,63977.62089828035
06/1988,64857.211303473414
07/1988,70121.52647433373
08/1988,67071.09716522835
09/1988,69409.96696377784
10/1988,73351.23446787415
11/1988,74484.40718865281
12/1988,75018.3808240084
01/1989,79545.54072895658
02/1989,80850.43159215254
03/1989,79900.8054886025
04/1989,81128.26394070944
05/1989,80187.54983080276
06/1989,80418.77374158816
07/1989,86392.77000339387
08/1989,84006.68874248587
09/1989,88972.10807216134
10/1989,82342.74878583674
11/1989,85138.34515425902
12/1989,84616.72197917389
01/1990,78968.65812106406
02/1990,72642.72701140212
03/1990,66557.424423202
04/1990,64962.54579480992
05/1990,71056.22975353793
06/1990,70901.17487407016
07/1990,69757.81587483828
08/1990,60372.854889695576
09/1990,52306.975070174405
10/1990,58201.913718182244
11/1990,53881.44833711768
12/1990,55456.20585400037
01/1991,57291.11617349569
02/1991,62267.08063735843
03/1991,63857.017254178456
04/1991,67928.93698916341
05/1991,69664.62092186355
06/1991,67135.72628838893
07/1991,70409.29415045636
08/1991,67525.39337882477
09/1991,69123.87234691795
10/1991,70108.76545658731
11/1991,64419.59098369776
12/1991,65430.354607211135
01/1992,64593.884471892954
02/1992,63724.263085360355
03/1992,61147.68712715478
04/1992,60818.266320464085
05/1992,63486.14144223739
06/1992,58874.46600577492
07/1992,54753.89017550549
08/1992,56493.292195373244
09/1992,56510.10031399956
10/1992,55947.98427879654
11/1992,60026.929722154135
12/1992,60342.105678397565
01/1993,61479.00522689671
02/1993,64990.10666305261
03/1993,70857.65803789816
04/1993,74792.98704905504
05/1993,76591.09329919575
06/1993,77622.08311107314
07/1993,83645.28269585397
08/1993,88627.57992091116
09/1993,83108.54090810119
10/1993,86886.82345555876
11/1993,81641.99773787595
12/1993,87447.2816418527
01/1994,95996.22529900815
02/1994,95191.9355993946
03/1994,89210.8918683566
04/1994,93088.61522576745
05/1994,90608.8316749472
06/1994,90163.36626953832
07/1994,88343.83359572926
08/1994,90651.41047452539
09/1994,87061.50686943818
10/1994,88085.09650679014
11/1994,85049.83087564162
12/1994,87376.695127958
01/1995,82212.17853489422
02/1995,81255.27123562401
03/1995,82913.32034624115
04/1995,84326.07104881563
05/1995,84769.51887866519
06/1995,82696.48393086124
07/1995,86684.28762449892
08/1995,86028.58381063964
09/1995,88754.44788450375
10/1995,85084.84413479979
11/1995,87671.36107192178
12/1995,92543.84451095737
01/1996,94216.32778061734
02/1996,95033.19684257048
03/1996,96983.25283630946
04/1996,100698.8446062495
05/1996,100179.33721948141
06/1996,99833.31639365303
07/1996,95437.56953094542
08/1996,94930.93348655872
09/1996,98347.05280216684
10/1996,97994.06364625585
11/1996,100724.53149482467
12/1996,101525.66841603194
01/1997,101036.76901624912
02/1997,107036.56559437161
03/1997,108388.06991489993
04/1997,109646.6911721682
05/1997,116518.40418829217
06/1997,124119.38746763606
07/1997,129916.56654171206
08/1997,123780.63320016778
09/1997,127299.68062173916
10/1997,115560.07685384878
11/1997,111915.51873864784
12/1997,116028.80728141815
01/1998,123756.82591481334
02/1998,131525.06960614637
03/1998,136345.20935834077
04/1998,136473.4413796793
05/1998,133695.63177582237
06/1998,135381.66531072135
07/1998,136588.90967426688
